"","x"
"1007_s_at",1.02731552647004
"1053_at",1.00546427690599
"117_at",1.02247985078073
"121_at",1.0002548510803
"1255_g_at",1.01759530905572
"1294_at",1.00747113895708
"1316_at",0.981527105448039
"1320_at",1.00388870946439
"1405_i_at",0.987996630381415
"1431_at",0.995994677964327
"1438_at",1.00849782615246
"1487_at",1.02080033506152
"1494_f_at",0.997629299218713
"1598_g_at",1.00599114048674
"160020_at",1.00846496959526
"1729_at",1.00723078120451
"1773_at",1.00808408432349
"177_at",1.00827058805821
"179_at",1.00834658974432
"1861_at",0.99046484435404
"200000_s_at",0.997161613234874
"200001_at",1.01044896580477
"200002_at",0.999316194128721
"200003_s_at",1.00364767251062
"200004_at",1.00007719515877
"200005_at",0.999371823460288
"200006_at",0.993978633710434
"200007_at",1.0060466785561
"200008_s_at",0.99081331193214
"200009_at",1.00072674303565
"200010_at",1.00383294919545
"200011_s_at",0.988224832629857
"200012_x_at",0.99787568742516
"200013_at",0.998053436119273
"200014_s_at",0.979982802926202
"200015_s_at",1.00469982935691
"200016_x_at",0.998471484266681
"200017_at",0.998669699909657
"200018_at",0.998592254751262
"200019_s_at",1.00125588071864
"200020_at",1.00061855764316
"200021_at",0.998237905477709
"200022_at",0.994414024006291
"200023_s_at",0.98801194866351
"200024_at",0.999754715298935
"200025_s_at",0.993904652248987
"200026_at",1.00480304308246
"200027_at",0.978515002505371
"200028_s_at",0.997063754831396
"200029_at",0.9984281188378
"200030_s_at",1.00063829926702
"200031_s_at",1.00374955176284
"200032_s_at",0.997312592808038
"200033_at",1.00338791428821
"200034_s_at",1.00009475283308
"200035_at",0.989022785351628
"200036_s_at",1.00172986606866
"200037_s_at",1.00059278131207
"200038_s_at",0.999149105405862
"200039_s_at",0.981211710994374
"200040_at",0.989318253813653
"200041_s_at",0.985939974678222
"200042_at",0.996819938382288
"200043_at",0.993865721007463
"200044_at",0.986548877289493
"200045_at",0.991456552518386
"200046_at",1.00491781279391
"200047_s_at",0.994938662429176
"200048_s_at",0.997412673980781
"200049_at",0.987604233047955
"200050_at",0.996401563725827
"200051_at",0.979963553020268
"200052_s_at",0.994574706266907
"200053_at",0.995934014827351
"200054_at",1.0234543366006
"200055_at",0.996800781952662
"200056_s_at",0.993733332482127
"200057_s_at",0.998324361314897
"200058_s_at",0.989177774359544
"200059_s_at",0.996493406050236
"200060_s_at",1.00473597604628
"200061_s_at",0.999770883579254
"200062_s_at",1.00240752035328
"200063_s_at",0.994660404921337
"200064_at",0.998899492803172
"200065_s_at",1.01298214055123
"200066_at",0.992159674233474
"200067_x_at",1.00207932094072
"200068_s_at",0.996852124172035
"200069_at",1.00030525650348
"200070_at",0.976225038867774
"200071_at",0.990419014403255
"200072_s_at",0.993239052768895
"200073_s_at",0.997900438304016
